Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki ac milan,Chrome 126.0.0.0,,,08-07-2024 15:07:26,08-07-2024 15:09:20,1m - 53.803s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open AC Milan,Chrome 126.0.0.0,,,08-07-2024 15:07:27,08-07-2024 15:09:20,1m - 52.736s,PASSED
"a = ""https://www.wikipedia.org/""",Chrome 126.0.0.0,,,08-07-2024 15:07:30,08-07-2024 15:07:30,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,08-07-2024 15:07:30,08-07-2024 15:08:57,1m - 27.419s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""AC Milan"")",Chrome 126.0.0.0,,,08-07-2024 15:08:57,08-07-2024 15:09:00,2.761s,PASSED
delay(3),Chrome 126.0.0.0,,,08-07-2024 15:09:00,08-07-2024 15:09:03,3.086s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,08-07-2024 15:09:03,08-07-2024 15:09:16,12.957s,PASSED
delay(4),Chrome 126.0.0.0,,,08-07-2024 15:09:16,08-07-2024 15:09:20,4.016s,PASSED
