Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:16:22,04-07-2024 14:16:48,25.991s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:16:23,04-07-2024 14:16:48,24.979s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:16:25,04-07-2024 14:16:25,0.013s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:16:25,04-07-2024 14:16:40,15.517s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:16:40,04-07-2024 14:16:43,2.496s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:16:43,04-07-2024 14:16:44,0.752s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:16:44,04-07-2024 14:16:45,1.488s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:16:45,04-07-2024 14:16:48,3.041s,PASSED
