Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:11:28,04-07-2024 14:13:07,1m - 38.742s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:11:29,04-07-2024 14:13:07,1m - 37.752s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:11:31,04-07-2024 14:11:31,0.018s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:11:31,04-07-2024 14:12:16,45.173s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:12:16,04-07-2024 14:13:01,44.752s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:13:01,04-07-2024 14:13:02,0.963s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:13:02,04-07-2024 14:13:03,1.135s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:13:03,04-07-2024 14:13:07,3.398s,PASSED
