Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:20:37,04-07-2024 14:20:56,18.928s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:20:37,04-07-2024 14:20:56,18.134s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:20:39,04-07-2024 14:20:39,0.008s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:20:39,04-07-2024 14:20:51,11.747s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:20:51,04-07-2024 14:20:52,0.975s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:20:52,04-07-2024 14:20:52,0.689s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:20:52,04-07-2024 14:20:53,0.353s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:20:53,04-07-2024 14:20:56,3.067s,PASSED
