Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:43:49,04-07-2024 14:44:33,44.049s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:43:50,04-07-2024 14:44:33,42.676s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:43:52,04-07-2024 14:43:52,0.006s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:43:52,04-07-2024 14:44:16,23.688s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:44:16,04-07-2024 14:44:28,11.981s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:44:28,04-07-2024 14:44:29,1.161s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:44:29,04-07-2024 14:44:29,0.352s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:44:29,04-07-2024 14:44:33,3.039s,PASSED
