Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 15:08:38,04-07-2024 15:09:39,1m - 1.702s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 15:08:38,04-07-2024 15:09:39,1m - 0.794s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 15:08:39,04-07-2024 15:08:39,0.010s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 15:08:39,04-07-2024 15:09:05,26.247s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 15:09:05,04-07-2024 15:09:06,0.839s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 15:09:06,04-07-2024 15:09:07,0.773s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 15:09:07,04-07-2024 15:09:36,29.082s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 15:09:36,04-07-2024 15:09:39,3.061s,PASSED
