Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:11:52,04-07-2024 14:13:17,1m - 24.398s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:11:57,04-07-2024 14:13:17,1m - 19.966s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:11:59,04-07-2024 14:11:59,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:11:59,04-07-2024 14:13:10,1m - 11.310s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:13:10,04-07-2024 14:13:11,0.807s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:13:11,04-07-2024 14:13:11,0.653s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:13:11,04-07-2024 14:13:14,2.329s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:13:14,04-07-2024 14:13:17,3.047s,PASSED
