Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki ac milan,Chrome 126.0.0.0,,,09-07-2024 13:48:58,09-07-2024 13:49:19,20.849s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open AC Milan,Chrome 126.0.0.0,,,09-07-2024 13:48:58,09-07-2024 13:49:19,20.625s,PASSED
"a = ""https://www.wikipedia.org/""",Chrome 126.0.0.0,,,09-07-2024 13:48:58,09-07-2024 13:48:58,0.009s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,09-07-2024 13:48:58,09-07-2024 13:49:07,9.096s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""AC Milan"")",Chrome 126.0.0.0,,,09-07-2024 13:49:07,09-07-2024 13:49:08,0.887s,PASSED
delay(3),Chrome 126.0.0.0,,,09-07-2024 13:49:08,09-07-2024 13:49:11,3.071s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,09-07-2024 13:49:11,09-07-2024 13:49:15,3.227s,PASSED
delay(4),Chrome 126.0.0.0,,,09-07-2024 13:49:15,09-07-2024 13:49:19,4.013s,PASSED
