Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:45:49,04-07-2024 14:47:19,1m - 30.430s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:45:51,04-07-2024 14:47:19,1m - 28.177s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:45:55,04-07-2024 14:45:55,0.009s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:45:55,04-07-2024 14:47:10,1m - 15.218s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:47:10,04-07-2024 14:47:15,4.620s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:47:15,04-07-2024 14:47:16,0.996s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:47:16,04-07-2024 14:47:16,0.449s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:47:16,04-07-2024 14:47:19,3.044s,PASSED
