Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki bob marley,Chrome 126.0.0.0,,,04-07-2024 13:45:59,04-07-2024 13:46:16,17.563s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open Bob Marley,Chrome 126.0.0.0,,,04-07-2024 13:45:59,04-07-2024 13:46:16,17.318s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,04-07-2024 13:45:59,04-07-2024 13:46:06,6.842s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""Bob Marley"")",Chrome 126.0.0.0,,,04-07-2024 13:46:06,04-07-2024 13:46:07,0.810s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 13:46:07,04-07-2024 13:46:10,3.054s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,04-07-2024 13:46:10,04-07-2024 13:46:12,2.318s,PASSED
delay(4),Chrome 126.0.0.0,,,04-07-2024 13:46:12,04-07-2024 13:46:16,4.013s,PASSED
