Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki ac parma,Chrome 126.0.0.0,,,04-07-2024 13:48:41,04-07-2024 13:49:00,19.503s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open AC Parma,Chrome 126.0.0.0,,,04-07-2024 13:48:41,04-07-2024 13:49:00,19.290s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,04-07-2024 13:48:41,04-07-2024 13:48:49,7.393s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""AC Parma"")",Chrome 126.0.0.0,,,04-07-2024 13:48:49,04-07-2024 13:48:50,0.893s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 13:48:50,04-07-2024 13:48:53,3.060s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,04-07-2024 13:48:53,04-07-2024 13:48:56,3.592s,PASSED
delay(4),Chrome 126.0.0.0,,,04-07-2024 13:48:56,04-07-2024 13:49:00,4.016s,PASSED
