Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:11:52,04-07-2024 14:13:24,1m - 31.209s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:11:57,04-07-2024 14:13:24,1m - 26.776s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:11:59,04-07-2024 14:11:59,0.004s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:11:59,04-07-2024 14:13:19,1m - 19.829s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:13:19,04-07-2024 14:13:20,1.059s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:13:20,04-07-2024 14:13:20,0.654s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:13:20,04-07-2024 14:13:21,0.332s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:13:21,04-07-2024 14:13:24,3.049s,PASSED
