Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:44:05,04-07-2024 14:44:57,51.246s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:44:06,04-07-2024 14:44:57,50.570s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:44:07,04-07-2024 14:44:07,0.029s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:44:07,04-07-2024 14:44:44,37.160s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:44:44,04-07-2024 14:44:45,0.890s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:44:45,04-07-2024 14:44:53,7.709s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:44:53,04-07-2024 14:44:53,0.424s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:44:53,04-07-2024 14:44:56,3.304s,PASSED
