Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:37:40,04-07-2024 14:38:22,41.549s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:37:41,04-07-2024 14:38:22,40.579s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:37:43,04-07-2024 14:37:43,0.006s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:37:43,04-07-2024 14:38:07,23.618s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:38:07,04-07-2024 14:38:12,5.332s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:38:12,04-07-2024 14:38:18,5.904s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:38:18,04-07-2024 14:38:19,0.611s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:38:19,04-07-2024 14:38:22,3.064s,PASSED
