Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 17:12:52,04-07-2024 17:13:17,24.423s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 17:12:53,04-07-2024 17:13:17,23.322s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 17:12:55,04-07-2024 17:12:55,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 17:12:55,04-07-2024 17:13:06,11.261s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 17:13:06,04-07-2024 17:13:09,2.868s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 17:13:09,04-07-2024 17:13:11,2.054s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 17:13:11,04-07-2024 17:13:14,2.650s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 17:13:14,04-07-2024 17:13:17,3.057s,PASSED
