Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:30:52,04-07-2024 14:31:21,28.596s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:30:53,04-07-2024 14:31:21,27.798s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:30:55,04-07-2024 14:30:55,0.052s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:30:55,04-07-2024 14:31:16,20.887s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:31:16,04-07-2024 14:31:16,0.814s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:31:16,04-07-2024 14:31:17,0.751s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:31:17,04-07-2024 14:31:18,0.369s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:31:18,04-07-2024 14:31:21,3.042s,PASSED
