Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:30:45,04-07-2024 14:31:10,24.336s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:30:48,04-07-2024 14:31:10,21.975s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:30:49,04-07-2024 14:30:49,0.106s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:30:49,04-07-2024 14:31:03,13.674s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:31:03,04-07-2024 14:31:05,1.756s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:31:05,04-07-2024 14:31:06,1.059s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:31:06,04-07-2024 14:31:06,0.679s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:31:06,04-07-2024 14:31:10,3.077s,PASSED
