Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:33:21,04-07-2024 14:34:00,38.760s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:33:22,04-07-2024 14:34:00,37.762s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:33:25,04-07-2024 14:33:25,0.066s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:33:25,04-07-2024 14:33:47,22.011s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:33:47,04-07-2024 14:33:53,6.487s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:33:53,04-07-2024 14:33:55,1.900s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:33:55,04-07-2024 14:33:57,1.740s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:33:57,04-07-2024 14:34:00,3.159s,PASSED
