Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:34:42,04-07-2024 14:35:47,1m - 5.393s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:34:46,04-07-2024 14:35:47,1m - 1.739s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:34:48,04-07-2024 14:34:48,0.004s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:34:48,04-07-2024 14:35:42,53.894s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:35:42,04-07-2024 14:35:43,0.805s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:35:43,04-07-2024 14:35:44,0.634s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:35:44,04-07-2024 14:35:44,0.493s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:35:44,04-07-2024 14:35:47,3.032s,PASSED
