Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
wiki bob marley,Chrome 126.0.0.0,,,05-07-2024 16:51:31,05-07-2024 16:52:08,36.051s,PASSED
,,,,,,,
Test Cases/Wikipedia/Open Bob Marley,Chrome 126.0.0.0,,,05-07-2024 16:51:32,05-07-2024 16:52:08,35.784s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,05-07-2024 16:51:32,05-07-2024 16:51:57,25.015s,PASSED
"setText(findTestObject(""Wikipedia/box wikipedia search""), ""Bob Marley"")",Chrome 126.0.0.0,,,05-07-2024 16:51:57,05-07-2024 16:51:58,0.904s,PASSED
delay(3),Chrome 126.0.0.0,,,05-07-2024 16:51:58,05-07-2024 16:52:01,3.057s,PASSED
"click(findTestObject(""Wikipedia/klik button search""))",Chrome 126.0.0.0,,,05-07-2024 16:52:01,05-07-2024 16:52:04,2.517s,PASSED
delay(4),Chrome 126.0.0.0,,,05-07-2024 16:52:04,05-07-2024 16:52:08,4.012s,PASSED
