Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:14:38,04-07-2024 14:15:09,31.526s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:14:39,04-07-2024 14:15:09,30.726s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:14:40,04-07-2024 14:14:40,0.009s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:14:40,04-07-2024 14:15:04,24.149s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:15:04,04-07-2024 14:15:05,0.815s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:15:05,04-07-2024 14:15:06,1.104s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:15:06,04-07-2024 14:15:06,0.357s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:15:06,04-07-2024 14:15:09,3.059s,PASSED
