Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 16:47:33,04-07-2024 16:48:07,33.609s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 16:47:33,04-07-2024 16:48:07,33.240s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 16:47:34,04-07-2024 16:47:34,0.004s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 16:47:34,04-07-2024 16:47:57,22.894s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 16:47:57,04-07-2024 16:48:02,4.527s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 16:48:02,04-07-2024 16:48:03,1.028s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 16:48:03,04-07-2024 16:48:04,1.007s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 16:48:04,04-07-2024 16:48:07,3.041s,PASSED
