Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:46:20,04-07-2024 14:50:00,3m - 39.720s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:46:25,04-07-2024 14:50:00,3m - 34.645s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:46:30,04-07-2024 14:46:30,0.000s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:46:30,04-07-2024 14:49:47,3m - 17.113s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:49:47,04-07-2024 14:49:54,6.439s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:49:54,04-07-2024 14:49:55,0.816s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:49:55,04-07-2024 14:49:57,2.179s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:49:57,04-07-2024 14:50:00,3.036s,PASSED
