Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:33:36,04-07-2024 14:34:23,46.968s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:33:38,04-07-2024 14:34:23,45.265s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:33:42,04-07-2024 14:33:42,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:33:42,04-07-2024 14:34:18,35.692s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:34:18,04-07-2024 14:34:19,1.022s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:34:19,04-07-2024 14:34:20,1.268s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:34:20,04-07-2024 14:34:20,0.419s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:34:20,04-07-2024 14:34:23,3.063s,PASSED
