Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:20:19,04-07-2024 14:20:44,24.059s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:20:21,04-07-2024 14:20:44,22.854s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:20:22,04-07-2024 14:20:22,0.004s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:20:22,04-07-2024 14:20:35,12.253s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:20:35,04-07-2024 14:20:38,3.728s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:20:38,04-07-2024 14:20:40,1.249s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:20:40,04-07-2024 14:20:40,0.690s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:20:40,04-07-2024 14:20:44,3.110s,PASSED
