Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 16:47:21,04-07-2024 16:48:09,47.967s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 16:47:22,04-07-2024 16:48:09,46.601s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 16:47:24,04-07-2024 16:47:24,0.009s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 16:47:24,04-07-2024 16:47:57,32.886s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 16:47:57,04-07-2024 16:48:05,8.050s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 16:48:05,04-07-2024 16:48:05,0.669s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 16:48:05,04-07-2024 16:48:06,0.339s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 16:48:06,04-07-2024 16:48:09,3.081s,PASSED
