Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:44:09,04-07-2024 14:45:03,54.547s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:44:09,04-07-2024 14:45:03,53.638s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:44:11,04-07-2024 14:44:11,0.005s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:44:11,04-07-2024 14:44:57,46.190s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:44:57,04-07-2024 14:44:59,1.870s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:44:59,04-07-2024 14:44:59,0.678s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:44:59,04-07-2024 14:45:00,0.652s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:45:00,04-07-2024 14:45:03,3.036s,PASSED
