Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 17:21:09,04-07-2024 17:21:33,24.699s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 17:21:09,04-07-2024 17:21:33,24.319s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 17:21:10,04-07-2024 17:21:10,0.006s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 17:21:10,04-07-2024 17:21:28,18.398s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 17:21:28,04-07-2024 17:21:29,1.219s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 17:21:29,04-07-2024 17:21:30,0.641s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 17:21:30,04-07-2024 17:21:30,0.374s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 17:21:30,04-07-2024 17:21:33,3.042s,PASSED
