Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,04-07-2024 14:16:27,04-07-2024 14:16:57,29.316s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,04-07-2024 14:16:29,04-07-2024 14:16:57,27.775s,PASSED
"a = ""http://206.189.158.91:8080/sparepart-factory-cms/login.zul""",Chrome 126.0.0.0,,,04-07-2024 14:16:31,04-07-2024 14:16:31,0.012s,PASSED
openBrowser(a),Chrome 126.0.0.0,,,04-07-2024 14:16:31,04-07-2024 14:16:51,20.009s,PASSED
"setText(findTestObject(""login mascot/input username""), UserName)",Chrome 126.0.0.0,,,04-07-2024 14:16:51,04-07-2024 14:16:51,0.763s,PASSED
"setText(findTestObject(""login mascot/input password""), Password)",Chrome 126.0.0.0,,,04-07-2024 14:16:51,04-07-2024 14:16:52,0.624s,PASSED
"click(findTestObject(""login mascot/klik button login""))",Chrome 126.0.0.0,,,04-07-2024 14:16:52,04-07-2024 14:16:53,0.503s,PASSED
delay(3),Chrome 126.0.0.0,,,04-07-2024 14:16:53,04-07-2024 14:16:57,4.041s,PASSED
